tense,dataset,num_words,sentence_id,theme,numerosity,structure,sentence,audio_filename
present,naturalistic,9,nat_18206,basic,plural,dependent,The friends I have are not interested in sports,nat_18206.wav
future,naturalistic,11,nat_06950,transport,singular,dependent,Will the driver who will take me not know the way?,nat_06950.wav
past,naturalistic,11,nat_04265,humanity,singular,independent,The teacher was not happy when the student did not learn,nat_04265.wav
future,naturalistic,7,nat_10108,food,singular,simple,Will she not be eating breakfast tomorrow?,nat_10108.wav
future,naturalistic,12,nat_00856,basic,singular,dependent,Will the man who is not working be looking for a job?,nat_00856.wav
present,naturalistic,6,nat_07051,health,singular,simple,Is my brother not depressed anymore?,nat_07051.wav
present,naturalistic,6,nat_03616,science,singular,simple,She is good at solving puzzles,nat_03616.wav
present,naturalistic,8,nat_15541,sport,singular,independent,I prefer yoga while my sister likes dance,nat_15541.wav
present,naturalistic,8,nat_07221,health,plural,dependent,The friends supporting each other have stronger bonds,nat_07221.wav
present,naturalistic,7,nat_02748,nature,plural,simple,Elephants have big ears and long trunks,nat_02748.wav
past,naturalistic,8,nat_09977,art,singular,preposition,I found a book under the old piano,nat_09977.wav
past,naturalistic,9,nat_04410,food,plural,independent,The athletes had been eating protein to build muscle,nat_04410.wav
future,naturalistic,11,nat_16182,housing,plural,preposition,The owners will not pay for the repairs of the roof,nat_16182.wav
past,naturalistic,10,nat_12241,weather,plural,dependent,Did the children who played outside enjoy the autumn leaves?,nat_12241.wav
present,naturalistic,10,nat_15647,housing,singular,independent,I have a pet cat that sleeps on my sofa,nat_15647.wav
past,naturalistic,9,nat_04279,nature,singular,dependent,Wasn't the soil that we planted in very dry?,nat_04279.wav
present,naturalistic,6,nat_10522,relationship,singular,simple,Doesn't she love her little brother?,nat_10522.wav
future,naturalistic,10,nat_09625,basic,plural,dependent,Will they be eating the food that we prepared tonight?,nat_09625.wav
present,naturalistic,8,nat_06267,relationship,singular,simple,I have a very big loving family here,nat_06267.wav
future,naturalistic,7,nat_03710,nature,plural,simple,Will the flowers bloom earlier this year?,nat_03710.wav
present,naturalistic,8,nat_17455,work,plural,dependent,The courses that we take are very challenging,nat_17455.wav
present,naturalistic,10,nat_16981,science,singular,independent,She doesn't like math so she won't take the test,nat_16981.wav
present,naturalistic,6,nat_17634,nature,singular,simple,Can you hear the ocean waves?,nat_17634.wav
past,naturalistic,8,nat_01489,sport,singular,simple,The skier sped down the mountain very quickly,nat_01489.wav
present,naturalistic,8,nat_05970,emotion,plural,preposition,Are the kids in this school not excited?,nat_05970.wav
present,naturalistic,6,nat_10007,weather,singular,simple,The storm is not moving fast,nat_10007.wav
past,naturalistic,9,nat_17605,nature,singular,independent,Was the animal hungry but it couldn't find food?,nat_17605.wav
past,naturalistic,6,nat_02856,nature,singular,simple,The forest was not very dense,nat_02856.wav
past,naturalistic,8,nat_10373,science,plural,simple,The teachers used projectors to show videos clearly,nat_10373.wav
past,naturalistic,8,nat_13114,basic,singular,preposition,Was the woman next to him not happy?,nat_13114.wav
past,naturalistic,9,nat_09595,relationship,singular,independent,My mom didn't work when I was a child,nat_09595.wav
past,naturalistic,11,nat_08423,relationship,plural,independent,Did the neighbors not invite them over for dinner so often?,nat_08423.wav
past,naturalistic,6,nat_16635,emotion,singular,simple,The music didn't calm her down,nat_16635.wav
future,naturalistic,9,nat_05182,food,singular,preposition,Will the baby drink milk from a bottle later?,nat_05182.wav
present,naturalistic,9,nat_03405,basic,singular,preposition,Do you want to sit next to my brother?,nat_03405.wav
future,naturalistic,10,nat_15170,transport,singular,preposition,No bus will be going to the beach tomorrow morning,nat_15170.wav
future,naturalistic,10,nat_18770,housing,singular,dependent,The house that I will rent has a nice view,nat_18770.wav
present,naturalistic,8,nat_14595,shopping,singular,simple,I always check prices before making a purchase,nat_14595.wav
present,naturalistic,8,nat_09545,humanity,singular,simple,Is the government not doing enough to help?,nat_09545.wav
present,naturalistic,7,nat_09049,nature,singular,simple,A small bird does not fly high,nat_09049.wav
future,naturalistic,12,nat_10422,housing,plural,independent,The neighbors will not be happy if we have a loud party,nat_10422.wav
past,naturalistic,7,nat_18255,basic,singular,dependent,She said something that made me happy,nat_18255.wav
present,naturalistic,5,nat_03971,emotion,singular,simple,The teacher doesn't seem patient,nat_03971.wav
future,naturalistic,11,nat_17155,sport,singular,preposition,Is the runner in front of me going to be tired?,nat_17155.wav
future,naturalistic,8,nat_09827,relationship,plural,simple,The bride and groom will be happy together,nat_09827.wav
present,naturalistic,9,nat_04966,sport,plural,preposition,Many athletes in the world are not very famous,nat_04966.wav
future,naturalistic,10,nat_17080,science,singular,independent,The car will drive autonomously when the technology is ready,nat_17080.wav
future,naturalistic,8,nat_19692,emotion,plural,simple,The students will feel anxious about their exams,nat_19692.wav
present,naturalistic,6,nat_01710,health,plural,simple,Most hospitals offer counseling services now,nat_01710.wav
present,naturalistic,11,nat_18042,sport,singular,preposition,The boxer in the ring is not fighting very well tonight,nat_18042.wav
present,naturalistic,9,nat_16409,shopping,singular,preposition,Can I get a refund at the store upstairs?,nat_16409.wav
past,naturalistic,7,nat_00451,science,plural,simple,The engineers built a new bridge quickly,nat_00451.wav
